INGREDIENTE,Kcal c/100gr,Proteína.100,Grasa.100,HC.100,Fibra.100,Azúcar.100,Calcio.100,Hierro.100,Magnesio.100,Fósforo. 100,Potasio.100,Sodio.100,Zinc.100,Cobre.100,Manganeso.100,C.100,Tiamina B1.100,Riboflavina. 100,Niacina B3.100,Ac. pantotenico B5.100,B-6. 100,Folato Gpo B. 100,Colina,B-12. 100,A. 100,E.100,D (D2 + D3),D,K (Polifenoles). 100,G. Saturada. 100,Monoinsaturadas. 100,Poliinsaturada.100,Trans.100,Colesterol.100,Ergoesterol,Cafeína. 100,Lisina,Metionina,Cisteína,Met+Cys,Tirosina,Betacaroteno
Maíz blanco molido,365,9.42,4,74.3,0,0,7,2.71,127,210,287,35,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harina Maíz amarillo,362,8.12,3,76.9,7.3,0.64,6,3.45,127,241,287,35,1.82,0.193,0.498,0,0.385,0.201,3.63,0.425,0.304,25,21.6,0,11,0.42,0,0,0.3,0.505,0.948,1.64,0,0,,0,0.228,0.17,0.146,0.316,,97
Maíz rolado,365,7,3,75,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maíz DDGS ,300,27,9,18,13,1.5,30,1.1,320,820,1050,120,6.4,0.7,1.8,,,,,,,,260,,,3.5,,,,,,,,,,,0.2241,0.1458,,,,
Salvado de trigo,216,15.6,4.25,64.5,42.8,0.41,73,10.6,611,1010,1180,2,7.27,0.998,11.5,0,0.523,0.577,13.6,2.18,1.3,79,74.4,0,9,1.49,0,0,1.9,0.63,0.637,2.21,0,0,,0,0.6,0.234,0.371,0.605,,6
Avena rolada,350,12.5,6.25,67.5,10,0,50,4.25,,,350,0,,,,,,,,,,,,,,,0,0,,0,2.5,2.5,0,0,,,,,,,,
Sorgo molido,359,8.43,3.34,76.6,6.6,1.94,12,3.14,123,278,324,3,1.63,0.253,1.26,0.8,0.329,0.061,4.5,0.539,0.325,25,0,0,0,0.5,0,0,6.4,0.528,0.943,1.4,0.004,0,,0,,,,,,
Trigo entero,370,15.1,2.73,71.2,10.6,,38,3.86,136,352,376,3,3.24,0.452,3.56,,0.504,0.128,5.55,,0.268,39,,,,,,,,,,,,,,,,,,,,
Harina integral,300,13.21,2.5,71.97,10.7,0.41,34,3.6,137,357,363,2,2.6,,,0,0.5,0.17,4.96,,0.41,44,,0,9,0.71,0,0,1.9,0.43,0.28,1.17,0,0,,0,,,,,,
Amaranto entero,371,13.6,7.02,65.2,6.7,1.69,159,7.61,248,557,508,4,2.87,0.525,3.33,4.2,0.116,0.2,0.923,1.46,0.591,82,69.8,0,2,1.19,0,0,0,1.46,1.68,2.78,,0,,,,,,,,
Maseca,367,6.67,5,76.67,6.7,0,333,2.33,,,317,50,,,,,,,,,,,,,,,0,0,,0,0,3.33,0,0,,,,,,,,
Avena en hojuela sin cascarilla,367,11.67,11.67,63.33,10,16.67,67,4.5,,,,150,,,,0,,,,,,,,,0,,,,,1.67,,,0,0,,,,,,,,
Arroz molido,490,19,18,59,1.9,10.02,41,4.49,,,,811,,,,4.7,,,,,,,,,200,,,,,5.9,0.99,,,59,,,,,,,,
Pasta (poroto) de soya,,47,4,30,8.53,,290,12,270,610,2200,20,4.8,1.3,3.3,,,,,,,,270,,,0.4,,,,,,,,,,,2.9,0.7,,1.41,,
Harina de soya,372,49.8,8.9,30.6,16,9.33,285,8.2,285,675,2090,9,4.1,1.6,3.15,0,1.09,0.28,2.95,1.55,1.05,289,192,0,40,0.55,0,0,3.9,1.29,1.46,4.22,0,0,,,2.99,,,1.35,,24
Lenteja,352,24.6,1.06,63.4,10.7,2.03,35,6.51,47,281,677,6,3.27,0.754,1.39,4.5,0.873,0.211,2.6,2.14,0.54,479,96.4,0,39,0.49,0,0,5,0.154,0.193,0.526,0,0,,,1.72,0.21,0.322,,0.658,23
Pasta (poroto) de canola,,31.2,7.3,18,11.6,7,700,18,450,1040,1150,40,5.5,0.7,5.2,,,,,,,,650,,,2,,,,24,,,,,,,,,,,,
Alfalfa ,267,17.4,0,33.33,28.6,3.4,2667,18,,,,567,,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,
Gluten de trigo,370,75.2,1.85,13.8,0.6,0,142,5.2,25,260,100,29,3.5,1,2.5,0,0,0,0,0,0,0,118,0,0,2.5,0,0,0,0.272,0.156,0.81,,0,,0,,,,,,
Harina de pescado,470,65,6,21,0,,44,0.38,2.4,28,8.5,11.47,0.107,0.12,0.19,0,0.02,0.79,0.46,0.13,0.46,,413.8,33.8,0,0.56,0,0.22,0,0,0,0,0,250,30,0,4.1145,1.7095,0.611,2.3205,,
Caseinato de calcio,355,86.5,1,0,0,0,1100,0,0,0,0,15,0,,,,,,,,,,,,,,,,,0.52,0.25,0.23,0,30,,,,,,,,
Huevo en polvo,,51,35,8,0,0,50,1.19,10,172,126,500,1.05,0.013,0.026,0,0.066,0.513,0.064,,1.4,0.121,294,0,520,1.03,2.2,87,0.3,,,,,373,,0,0.904,0.392,0.292,,,11
Cascarón de huevo,,2.1,,,,,38,0.5,375,99.3,41.6,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alimento para pollo Purina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sal,,,,,,,24,0.33,1,,8,38800,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suero de leche,359,58.14,1.16,29.07,0,1.16,698,1.26,233,581,872,372,8.72,,,34.9,0.87,0.99,11.63,,1.16,395,,3.49,2907,7.85,0,0,46.5,0.58,0.15,0.02,0,12,,0,,,,,,
Hígado en polvo,400,70,10,0,0,0,0,8,0,,,0,,,,,,,,,50,,,2,,,0,0,,0,,,0,100,,,,,,,,
Harina de carne y hueso,450,45,11,39,1,,1200,64,450,600,600,450,12,1.1,2.5,,,,,,,,215,,,0.1,,,,,,,,,,,,,,,,
Harina de carne H65,,65,3,22,1.5,,450,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harina de carne H70,,70,3,17,1.5,,450,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levadura de pan,250,40.4,7.61,41.2,26.9,0,30,2.17,54,637,955,51,7.94,0.436,0.312,0.3,11,4,40.2,13.5,1.5,2340,32,0.07,0,0,0,0,0.4,1,4.31,0.017,0,,30,0,3.28,0.59,0.5,,,0
Fortipollo,317.5,21,4,55,3,,980,7,,200,,600,4,0.5,2,0,0.25,0.8,0.1,,0.1,0.1,,0.1,1250,7.3,10,,0.35,,,,,,,,1.1152,0.3186,0.093,0.581,0,48.5
Maxipollo,325,19.5,4,56,3,,980,7,,200,,600,4,0.5,2,0,0.25,0.8,0.1,,0.1,0.1,,0.1,1250,7.3,10,,0.35,,,,,100,10,,,,,,,
Comercializador,,13.5,3,67,3,,980,7,,200,,600,4,0.5,2,0,0.25,0.8,0.1,,0.1,0.1,,0.1,1250,7.3,10,,0.35,,,,,,,,,,,,,
Pasta de ajonjolí,,39,5.5,19,19,,2700,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascarilla de soya,240,11.1,1.5,55,32.5,1.5,500,55,200,200,1260,70,4.2,1.1,2,,,,,,,,40,,,0.3,,,,,,,,,,,,,,,,
Minelaza,290,0,0.1,74.7,0,74.7,19600,,1200,4600,,5700,15,,,,256,640,,,336,16,,1600,,,,,640,,,,,,,,,,,,,
Melaza,290,0,0.1,74.7,0,74.7,1079,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mezcla vitaminas y minerales,,,,,,,35366.4,531.84,2711.98,2814.4,9804.5,0,161.483,21.075,141.675,0,13,12.37,25.9,22.5,0,0,2151.032,0,296666.667,19.8,140,0,0,0,0,0,0,0,0,0,16.6,10.1,,,,0.4579
Tiamina B1,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,
Ac. pantoténico B5,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,
Riboflavina B2,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,
Vitamina C,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamina E,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,
Colina,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,
Cobre,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hierro,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zinc,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
